,Date,mtt_signal,mansfield_rs,minervini_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分
749,2024-08-02,0,-3.017695071299764,-5.437595194658489,False,False,False,True,0,125800,2752,フジオフードグループ本社,小売業,小売,TOPIX Small 1,プライム（内国株式）
750,2024-08-02,0,8.140493903136159,15.076357745072869,False,False,False,True,0,38400,2753,あみやき亭,小売業,小売,TOPIX Small 2,プライム（内国株式）
751,2024-08-02,0,5.799376176123583,9.96272242045818,False,False,False,True,0,17900,2754,東葛ホールディングス,小売業,小売,-,スタンダード（内国株式）
752,2024-08-02,0,-25.547116487562338,-15.06620400847935,False,False,False,True,0,488200,2760,東京エレクトロン　デバイス,卸売業,商社・卸売,TOPIX Small 1,プライム（内国株式）
753,2024-08-02,0,-12.41406266198476,-16.449705288848236,False,False,False,True,0,186000,2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,小売業,小売,-,スタンダード（内国株式）
754,2024-08-02,0,-8.416534221097683,-9.200666854960717,False,False,False,True,0,34500,2763,エフティグループ,卸売業,商社・卸売,-,スタンダード（内国株式）
755,2024-08-02,0,-16.910979718326946,-21.98793468261585,False,False,False,True,0,438000,2764,ひらまつ,小売業,小売,TOPIX Small 2,スタンダード（内国株式）
756,2024-08-02,0,-6.715952384384605,-25.434182372974135,False,False,False,True,0,1197300,2767,円谷フィールズホールディングス,卸売業,商社・卸売,TOPIX Small 1,プライム（内国株式）
757,2024-08-02,0,-8.249114660884715,-9.80917454389543,False,False,False,True,0,2628300,2768,双日,卸売業,商社・卸売,TOPIX Mid400,プライム（内国株式）
758,2024-08-02,0,0.3963770663068855,-1.2679241863115709,False,False,False,True,0,25300,2769,ヴィレッジヴァンガードコーポレーション,小売業,小売,-,スタンダード（内国株式）
759,2024-08-02,0,49.030344207561825,70.33082706766918,False,False,True,False,1935900,0,2776,新都ホールディングス,卸売業,商社・卸売,-,スタンダード（内国株式）
760,2024-08-02,0,-12.007187593237067,-14.561559954818385,False,True,False,True,0,300900,2778,パレモ・ホールディングス,小売業,小売,-,スタンダード（内国株式）
761,2024-08-02,0,-6.204141265802066,-7.723458616775561,False,False,True,False,248500,0,2780,コメ兵ホールディングス,小売業,小売,-,スタンダード（内国株式）
762,2024-08-02,1,23.3016999913924,31.29101138262954,False,False,False,True,0,397700,2782,セリア,小売業,小売,-,スタンダード（内国株式）
763,2024-08-02,0,-5.837588599283627,-8.713514588072165,False,False,False,True,0,524600,2784,アルフレッサ　ホールディングス,卸売業,商社・卸売,TOPIX Mid400,プライム（内国株式）
764,2024-08-02,0,3.6595165700384236,13.24723894751338,False,False,False,True,0,383300,2788,アップルインターナショナル,卸売業,商社・卸売,-,スタンダード（内国株式）
765,2024-08-02,0,-0.9573323728149341,0.5328758106463876,False,False,False,True,0,19800,2789,カルラ,小売業,小売,-,スタンダード（内国株式）
766,2024-08-02,0,21.747827558671705,25.748856918884883,False,False,False,True,0,10900,2790,ナフコ,小売業,小売,-,スタンダード（内国株式）
767,2024-08-02,1,33.929511614231785,46.92701887656207,False,False,True,False,112400,0,2791,大黒天物産,小売業,小売,TOPIX Small 1,プライム（内国株式）
768,2024-08-02,0,-5.8593832429691854,-6.855966255344035,False,False,False,True,0,163200,2792,ハニーズホールディングス,小売業,小売,TOPIX Small 2,プライム（内国株式）
769,2024-08-02,0,11.333940750548921,11.559481410936097,False,False,True,False,7600,0,2795,日本プリメックス,卸売業,商社・卸売,-,スタンダード（内国株式）
770,2024-08-02,0,-5.045399906804726,-7.136030260068256,False,True,False,True,0,14900,2796,ファーマライズホールディングス,小売業,小売,TOPIX Small 2,スタンダード（内国株式）
771,2024-08-02,0,8.332641172730737,11.028823410759507,False,False,False,True,0,5500,2798,ワイズテーブルコーポレーション,小売業,小売,-,スタンダード（内国株式）
772,2024-08-02,0,-5.014913794003595,-2.588340272517456,False,False,False,True,0,3625800,2801,キッコーマン,食料品,食品,TOPIX Mid400,プライム（内国株式）
773,2024-08-02,0,6.073297868736782,2.9408258012327204,False,False,False,True,0,2392900,2802,味の素,食料品,食品,TOPIX Large70,プライム（内国株式）
774,2024-08-02,0,-5.831135890040706,-5.828585005846041,False,False,False,True,0,23400,2804,ブルドックソース,食料品,食品,TOPIX Small 2,プライム（内国株式）
775,2024-08-02,1,14.51169736359994,17.081518838174798,False,False,True,False,17300,0,2805,ヱスビー食品,食料品,食品,-,スタンダード（内国株式）
776,2024-08-02,0,8.804127256133288,5.251984581211309,False,False,True,False,1900,0,2806,ユタカフーズ,食料品,食品,-,スタンダード（内国株式）
777,2024-08-02,1,29.156488334457677,33.453083243778146,False,False,False,True,0,497000,2809,キユーピー,食料品,食品,TOPIX Mid400,プライム（内国株式）
778,2024-08-02,0,-6.642220418722866,-10.898005746042827,False,False,False,True,0,315300,2810,ハウス食品グループ本社,食料品,食品,TOPIX Mid400,プライム（内国株式）
779,2024-08-02,0,-8.371260027049864,-12.12391854160531,False,False,False,True,0,862500,2811,カゴメ,食料品,食品,TOPIX Mid400,プライム（内国株式）
