Date,Adj Close,mtt_condition,mtt_on,mtt_off,mansfield_rs,minervini_rs,dorsey_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,st_fast_dir,st_slow_dir,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分,日経平均構成銘柄,mansfield_rsi,minervini_rsi
2024-08-07,2983.0,1,0,0,10.978734292230353,10.880353968616397,,False,False,True,False,526000,0,-1,-1,7278,エクセディ,輸送用機器,自動車・輸送機,TOPIX Small 1,プライム（内国株式）,False,89,87.0
2024-08-07,26860.0,1,0,0,20.281855741199408,17.793507901318236,,False,False,True,False,470500,0,1,-1,7309,シマノ,輸送用機器,自動車・輸送機,TOPIX Large70,プライム（内国株式）,False,95,92.0
2024-08-07,2927.0,1,1,0,14.060831737408908,12.10940336833352,,False,False,True,False,144500,0,-1,-1,7476,アズワン,卸売業,商社・卸売,TOPIX Mid400,プライム（内国株式）,False,92,88.0
2024-08-07,1032.0,1,0,0,32.72677827504895,41.01146359428455,,False,False,True,False,221000,0,-1,-1,7513,コジマ,小売業,小売,TOPIX Small 2,プライム（内国株式）,False,97,97.0
2024-08-07,3089.0,1,1,0,23.341660753907068,14.979326118408501,,True,False,False,True,0,1510600,1,1,7518,ネットワンシステムズ,情報・通信業,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,False,96,90.0
2024-08-07,33.0,1,0,0,23.31057380517787,22.43174603174604,,False,False,True,False,1829900,0,1,1,7647,音通,サービス業,情報通信・サービスその他,-,スタンダード（内国株式）,False,96,94.0
2024-08-07,2880.0,1,1,0,57.44037993667182,77.4297315411783,,False,False,True,False,14100,0,-1,-1,7698,アイスコ,卸売業,商社・卸売,-,スタンダード（内国株式）,False,99,99.0
2024-08-07,19235.0,1,1,0,11.673686175314813,14.732803802585309,,False,False,True,False,2554600,0,1,-1,7741,ＨＯＹＡ,精密機器,電機・精密,TOPIX Core30,プライム（内国株式）,True,90,90.0
2024-08-07,3940.0,1,0,0,23.85356962309608,53.751555995339054,,False,False,False,False,0,0,1,1,7769,リズム,精密機器,電機・精密,TOPIX Small 2,プライム（内国株式）,False,96,98.0
2024-08-07,618.0,1,0,0,112.44342385365726,147.45171762398655,,False,False,True,False,11310700,0,-1,-1,7776,セルシード,精密機器,電機・精密,-,グロース（内国株式）,False,99,99.0
2024-08-07,1250.0,1,1,0,29.399176318841125,35.73092991217987,,False,False,True,False,100700,0,1,-1,7841,遠藤製作所,その他製品,情報通信・サービスその他,-,スタンダード（内国株式）,False,97,96.0
2024-08-07,3115.0,1,1,0,26.277172335229217,37.01491758151194,,False,False,True,False,1761600,0,-1,-1,7867,タカラトミー,その他製品,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,False,96,96.0
2024-08-07,2087.0,1,0,0,48.11148436474397,61.85190454261562,,False,False,True,False,445500,0,-1,-1,7906,ヨネックス,その他製品,情報通信・サービスその他,-,スタンダード（内国株式）,False,99,98.0
2024-08-07,228.0,1,0,0,13.281717053466991,13.594959636225967,,False,False,True,False,464900,0,-1,-1,7908,きもと,化学,素材・化学,TOPIX Small 2,スタンダード（内国株式）,False,91,89.0
2024-08-07,1540.0,1,0,0,22.120897008844853,20.385414314172408,,False,False,True,False,626500,0,1,-1,8051,山善,卸売業,商社・卸売,TOPIX Small 1,プライム（内国株式）,False,95,93.0
2024-08-07,3190.0,1,0,0,31.555450431948696,32.31373487923537,,False,False,True,False,1400,0,-1,-1,8119,三栄コーポレーション,卸売業,商社・卸売,-,スタンダード（内国株式）,False,97,96.0
2024-08-07,4290.0,1,0,0,24.432467200559582,26.712805043956305,,True,False,True,False,1418600,0,-1,-1,8129,東邦ホールディングス,卸売業,商社・卸売,TOPIX Mid400,プライム（内国株式）,False,96,95.0
2024-08-07,3354.0,1,0,0,39.26171860731449,45.410542687944336,,True,False,True,False,4781000,0,1,-1,8136,サンリオ,卸売業,商社・卸売,TOPIX Mid400,プライム（内国株式）,False,98,97.0
2024-08-07,110.0,1,0,0,30.86528815878826,40.35461788800359,,False,False,True,False,78800,0,-1,-1,8166,タカキュー,小売業,小売,TOPIX Small 2,スタンダード（内国株式）,False,97,97.0
2024-08-07,1547.0,1,0,0,15.416934854340326,11.380920967312102,,False,False,True,False,991400,0,-1,-1,8282,ケーズホールディングス,小売業,小売,TOPIX Mid400,プライム（内国株式）,False,93,87.0
2024-08-07,783.0,1,0,0,36.484657055165904,34.13932108145315,,False,False,True,False,40000,0,-1,1,8462,フューチャーベンチャーキャピタル,証券、商品先物取引業,金融（除く銀行）,-,スタンダード（内国株式）,False,98,96.0
2024-08-07,750.0,1,1,0,18.409277515683353,15.477643477367964,,False,False,True,False,828200,0,-1,-1,8704,トレイダーズホールディングス,証券、商品先物取引業,金融（除く銀行）,-,スタンダード（内国株式）,False,94,90.0
2024-08-07,533.0,1,0,0,20.879783620949176,22.132730625932933,,False,False,True,False,115300,0,-1,-1,8769,アドバンテッジリスクマネジメント,サービス業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）,False,95,94.0
2024-08-07,2796.0,1,0,0,22.12375060213403,20.823894674209722,,False,False,True,False,89500,0,-1,1,8871,ゴールドクレスト,不動産業,不動産,TOPIX Small 1,スタンダード（内国株式）,False,95,93.0
2024-08-07,727.0,1,0,0,59.121047644996,56.86899214903103,,True,False,False,False,0,0,1,1,8889,ＡＰＡＭＡＮ,不動産業,不動産,-,スタンダード（内国株式）,False,99,98.0
2024-08-07,624.0,1,1,0,17.052960331560985,16.020638830893816,,False,False,True,False,28200,0,-1,-1,8940,インテリックス,不動産業,不動産,TOPIX Small 2,スタンダード（内国株式）,False,94,91.0
2024-08-07,2512.5,1,0,0,23.566953487921882,33.17826486836244,,False,False,True,False,1576200,0,-1,-1,9024,西武ホールディングス,陸運業,運輸・物流,TOPIX Mid400,プライム（内国株式）,False,96,96.0
2024-08-07,5760.0,1,0,0,89.43655142687166,159.69877721336508,,False,False,True,False,199400,0,1,1,9055,アルプス物流,陸運業,運輸・物流,TOPIX Small 2,プライム（内国株式）,False,99,99.0
2024-08-07,445.0,1,0,0,51.73214003716022,67.86414453116687,,False,False,True,False,180600,0,-1,-1,9067,丸運,陸運業,運輸・物流,TOPIX Small 2,スタンダード（内国株式）,False,99,99.0
