Date,is_52w_high,is_52w_low,hh-hl,trin,trin_13ma
2023-01-04,71,86,-15,0.5328896789633851,
2023-01-05,32,107,-75,0.6749914537225059,
2023-01-06,23,104,-81,1.5632877727659502,
2023-01-10,53,40,13,1.7948238608485962,
2023-01-11,53,25,28,1.1453993394790436,
2023-01-12,75,35,40,0.5617700403613076,
2023-01-13,115,65,50,0.4781904960401354,
2023-01-16,55,110,-55,1.5144308824640147,
2023-01-17,35,73,-38,1.0014950423658706,
2023-01-18,61,38,23,1.385385411326527,
2023-01-19,59,22,37,1.9606260628835803,
2023-01-20,75,36,39,0.6564833820490552,
2023-01-23,130,12,118,1.3123657661423602,1.0909821961797952
2023-01-24,152,3,149,0.9731699983169138,1.0741518821993836
2023-01-25,133,4,129,0.6954611482528845,1.0200532059213123
2023-01-26,129,5,124,0.8360249004056378,0.9937634479905018
2023-01-27,137,8,129,0.8848852433038669,0.978209418749554
2023-01-30,172,16,156,1.221275413800053,1.0129331323281967
2023-01-31,178,13,165,1.0731618149860542,1.021537229850748
2023-02-01,212,12,200,1.334815065718721,1.0662912064033157
2023-02-02,106,19,87,1.3102574345777467,1.1011435247139487
2023-02-03,77,25,52,0.7026463737040309,1.0442153602839606
2023-02-06,92,22,70,0.9734530362389605,1.0341064568489606
2023-02-07,103,18,85,0.7254049114022343,0.9900062360708569
2023-02-08,125,21,104,0.8235612181463758,0.9662283763673597
2023-02-09,140,26,114,1.3540079914701917,1.0216254642391929
2023-02-10,182,32,150,0.7477440715378594,0.9824995509961453
2023-02-13,138,50,88,0.42899296305498047,0.9034271812902647
2023-02-14,173,37,136,1.1290379737495833,0.9356572944987389
2023-02-15,197,60,137,0.4294206409127675,0.8633377725578859
2023-02-16,195,31,164,1.064307952270434,0.892047798231107
2023-02-17,157,44,113,0.7244330459048083,0.8681028336130645
2023-02-20,244,30,214,1.0469556693776987,0.8936532387222981
2023-02-21,303,24,279,0.9645383161610426,0.9037796783564045
2023-02-22,157,48,109,1.0570696214838498,0.9256782416603253
2023-02-24,249,46,203,1.4817783022855622,1.0051211074639306
2023-02-27,338,46,292,1.1629703987687872,1.0276710062217673
2023-02-28,311,18,293,1.5243538066095133,1.0986256919914454
2023-03-01,242,32,210,1.1933574790437795,1.1121588044274933
2023-03-02,317,34,283,1.3351755468086668,1.1440183390533754
2023-03-03,330,25,305,0.6702484137290151,1.0763369211498954
2023-03-06,410,33,377,0.9958854288929044,1.0648438508274682
2023-03-07,423,28,395,0.8188672028615471,1.0297043296894797
2023-03-08,455,27,428,1.2374900855445738,1.0593880090973502
2023-03-09,621,26,595,0.562697686766903,0.9884322487644293
2023-03-10,170,21,149,1.2379756432253892,1.024081305115995
2023-03-13,42,57,-15,0.5897629484454001,0.9620358255916244
2023-03-14,31,113,-82,0.8754163168732235,0.9496616100604243
2023-03-15,56,53,3,0.9378150282738822,0.9479692412337755
2023-03-16,33,203,-170,0.5473011566383963,0.8907309434344356
2023-03-17,71,56,15,1.7229974483066663,1.009626158416183
2023-03-20,60,126,-66,0.6190575460527897,0.9538306423642696
2023-03-22,75,43,32,0.9758236842983183,0.9569725054977052
2023-03-23,64,68,-4,1.779446960163612,1.0744688561642635
2023-03-24,88,48,40,1.5383178284952501,1.1407329950686902
2023-03-27,100,30,70,1.4400607839490418,1.1834941077658834
2023-03-28,68,49,19,0.39672011686687475,1.0710978233517394
2023-03-29,106,45,61,0.8971093802830307,1.046242331484781
2023-03-30,189,32,157,1.7246263007934841,1.1431543271003102
2023-03-31,243,19,224,1.0183784237177644,1.1253291980456608
2023-04-03,289,16,273,0.9666922095316554,1.1026667711150886
2023-04-04,207,17,190,0.5390029650100345,1.022143370242938
2023-04-05,59,33,26,0.6058982265664175,0.9626797782891494
2023-04-06,45,56,-11,1.033864897837972,0.9728490810818384
2023-04-07,56,58,-2,1.025683184953573,0.980396810206372
2023-04-10,88,54,34,0.7554978355637493,0.9482683852574261
2023-04-11,107,35,72,0.8616574044798133,0.9358953880034815
2023-04-12,131,30,101,0.6545475308714949,0.8957028369846263
2023-04-13,129,43,86,1.473497712614811,0.9782449620746527
2023-04-14,183,35,148,1.4161912085507349,1.040808711571236
2023-04-17,169,40,129,0.714453493509964,0.9941865375624828
2023-04-18,223,38,185,0.7337554955609055,0.956982102990829
2023-04-19,134,40,94,0.756146303597735,0.9282912745061014
2023-04-20,192,39,153,1.324138042483231,0.9848408127885484
2023-04-21,203,56,147,1.1549154671884891,1.00913719198854
2023-04-24,243,43,200,1.2250706998375405,1.0399848359669686
2023-04-25,369,53,316,1.3568209221736354,1.0852471339964924
2023-04-26,112,71,41,0.41630013418689565,0.9896832768808358
2023-04-27,118,71,47,0.7629851612041302,0.9572978317841636
2023-04-28,341,50,291,1.5694618828334355,1.0447498390769168
2023-05-01,520,44,476,1.1309890098995192,1.0570697206230029
2023-05-02,352,55,297,0.9641831846515372,1.043800215484222
2023-05-08,373,24,349,1.581023891343014,1.120546454892621
2023-05-09,511,27,484,0.6758698428854548,1.057021224605883
2023-05-10,373,33,340,0.8293659012925684,1.0244990355611239
2023-05-11,201,31,170,0.9826191372309987,1.0185161929425346
2023-05-12,305,63,242,1.2305631679912419,1.0488086179494929
2023-05-15,442,92,350,0.6339361147575396,0.9895411174934996
2023-05-16,422,110,312,1.176894764824369,1.0163059242550525
2023-05-17,365,95,270,0.5959977433812543,0.9562618984159386
2023-05-18,362,82,280,0.6572633710636533,0.9135478230798979
2023-05-19,315,71,244,1.260604100885803,0.9631272913378843
