Date,mtt_on,mtt_off,mtt_condition,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline
2004-04-01,0,0,0,0,0,784,942,17130478815,7610497417
2004-04-02,0,0,0,0,0,1023,712,3480601578,11741928857
2004-04-05,0,0,0,0,0,849,967,19541486478,2795651652
2004-04-06,0,0,0,0,0,741,1017,661759844,16433507971
2004-04-07,0,0,0,0,0,889,840,3755877638,6170900364
2004-04-08,0,0,0,0,0,1117,623,20489985766,1160210505
2004-04-09,0,0,0,0,0,521,1207,5770298807,6767722607
2004-04-12,0,0,0,0,0,1384,386,14144731847,132767017
2004-04-13,0,0,0,0,0,932,846,15051974908,5934200548
2004-04-14,0,0,0,0,0,1181,588,29941885337,2806563026
2004-04-15,0,0,0,0,0,273,1599,1356024983,22953221392
2004-04-16,0,0,0,0,0,857,902,5628132319,17664675393
2004-04-19,0,0,0,0,0,371,1443,2842927413,13987850822
2004-04-20,0,0,0,0,0,1185,554,18136481588,6971818251
2004-04-21,0,0,0,0,0,918,802,10259421941,7673911757
2004-04-22,0,0,0,0,0,839,892,7266296893,8600516888
2004-04-23,0,0,0,0,0,767,985,9939087798,7502794427
2004-04-26,0,0,0,0,0,762,993,1907069854,14132778954
2004-04-27,0,0,0,0,0,710,1018,4849696198,6223199307
2004-04-28,0,0,0,0,0,842,876,37351313652,5395337575
2004-04-29,0,0,0,0,0,0,0,0,0
2004-04-30,0,0,0,0,0,849,899,34417373751,5608767834
2004-05-03,0,0,0,0,0,0,0,0,0
2004-05-04,0,0,0,0,0,0,0,0,0
2004-05-05,0,0,0,0,0,0,0,0,0
2004-05-06,0,0,0,0,0,427,1357,717704883,35419072432
2004-05-07,0,0,0,0,0,693,1041,564126307,9694353481
2004-05-10,0,0,0,0,0,100,1804,30732437,44109242434
2004-05-11,0,0,0,0,0,1278,518,2304932022,26389288677
2004-05-12,0,0,0,0,0,1201,530,9479536395,15696935316
2004-05-13,0,0,0,0,0,321,1385,6057218244,7812769609
2004-05-14,0,0,0,0,0,550,1142,6617975924,10291266618
2004-05-17,0,0,0,0,0,140,1688,47215983,18932832193
