Date,mtt_condition,mtt_on,mtt_off,mansfield_rs,minervini_rs,dorsey_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分,日経平均構成銘柄,rsi_ma,rsi_mi
2024-08-05,0,0,0,-9.954569693436122,-17.410307940317583,-0.8718870456863699,False,False,False,True,0,87000,7931,未来工業,化学,素材・化学,TOPIX Small 2,プライム（内国株式）,False,28.0,37.0
2024-08-05,0,0,0,3.276045522593707,3.909975202272998,-1.1298450943994656,False,False,False,True,0,28800,7932,ニッピ,その他製品,情報通信・サービスその他,-,スタンダード（内国株式）,False,62.0,88.0
2024-08-05,0,0,0,29.409201377054806,39.768475890252915,-1.2573843825086675,False,False,False,True,0,16961300,7936,アシックス,その他製品,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,False,96.0,98.0
2024-08-05,0,0,0,0.5077699426454751,-14.283275671902778,-0.6990348033928621,False,True,False,True,0,25500,7937,ツツミ,その他製品,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）,False,54.0,46.0
2024-08-05,0,0,0,22.777505596692848,13.69695678687633,-0.7397091676414321,False,False,False,True,0,12600,7938,リーガルコーポレーション,その他製品,情報通信・サービスその他,-,スタンダード（内国株式）,False,94.0,94.0
2024-08-05,0,0,0,9.997343482438703,-3.1082701909045167,-0.3301014656144306,False,True,False,True,0,9800,7939,研創,その他製品,情報通信・サービスその他,-,スタンダード（内国株式）,False,79.0,76.0
2024-08-05,0,0,0,0.7644344683678916,-12.949725547287287,-0.7478565650700703,False,True,False,True,0,175400,7940,ウェーブロックホールディングス,化学,素材・化学,TOPIX Small 2,スタンダード（内国株式）,False,55.0,50.0
2024-08-05,0,0,0,-3.8507439032294366,-14.307808296269714,-1.198952701575657,False,True,False,True,0,143000,7942,ＪＳＰ,化学,素材・化学,TOPIX Small 2,プライム（内国株式）,False,42.0,46.0
2024-08-05,0,0,0,13.766914058298862,-1.937738054833165,-0.5056046012356525,False,False,False,True,0,178700,7943,ニチハ,ガラス・土石製品,建設・資材,TOPIX Small 1,プライム（内国株式）,False,86.0,79.0
2024-08-05,0,0,0,-14.393855730289495,-25.74176653941737,-0.8275973604599293,False,True,False,True,0,91600,7944,ローランド,その他製品,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,False,20.0,20.0
2024-08-05,0,0,0,-4.332145004126087,-16.713299321272384,-1.2627257952665356,False,True,False,True,0,4800,7946,光陽社,その他製品,情報通信・サービスその他,-,スタンダード（内国株式）,False,41.0,39.0
2024-08-05,0,0,0,4.004344608532429,-11.502225964048908,-0.28766519203809426,False,False,False,True,0,497900,7947,エフピコ,化学,素材・化学,TOPIX Mid400,プライム（内国株式）,False,64.0,54.0
2024-08-05,0,0,0,-1.8044079060521634,-13.739778924831992,-0.7595130028809373,False,True,False,True,0,39000,7949,小松ウオール工業,その他製品,情報通信・サービスその他,TOPIX Small 2,プライム（内国株式）,False,48.0,48.0
2024-08-05,0,0,0,-13.912166231527367,-30.887686660065718,-1.066226664606897,False,True,False,True,0,2281400,7951,ヤマハ,その他製品,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,True,21.0,13.0
